EstablecimientoCodigoAntiguo;EstablecimientoCodigo;EstablecimientoCodigoMadreAntiguo;EstablecimientoCodigoMadreNuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;AmbitoFuncionamiento;EstablecimientoGlosa;Certificacion;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaCodigo;ComunaGlosa;TipoViaGlosa;Numero;NombreVia;TelefonoMovil_TelefonoFijo;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;ClasificacionTipoSapu;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa;FechaIncorporacion;FechaCierre
;200556;;;13;METROPOLITANA DE SANTIAGO;95;SERVICIO DE SALUD NO APLICA;Perteneciente al Sistema Nacional de Servicios de Salud;ATENCIÓN REMOTA;ESTABLECIMIENTO DE SALUD;HOSPITAL DIGITAL;No Aplica;Servicio de Salud;No Aplica;13101;SANTIAGO;Calle;670;Huérfanos, Piso 18;933858910;05-11-2018;NO;No Aplica;No Aplica;-33.439.415;-70.646.293;PÚBLICO;VIGENTE EN OPERACIÓN HABITUAL;No Aplica;NO APLICA;25-08-2022;
;201435;;;13;METROPOLITANA DE SANTIAGO;95;SERVICIO DE SALUD NO APLICA;Perteneciente al Sistema Nacional de Servicios de Salud;ATENCIÓN REMOTA;ESTABLECIMIENTO DE SALUD;DEPARTAMENTO DE ASISTENCIA REMOTA EN SALUD;No Aplica;Servicio de Salud;No Aplica;13101;SANTIAGO;Calle;689;Monjitas 689;249528;29-09-2023;NO;No Aplica;No Aplica;-33.436.768;-70.646.957;PÚBLICO;VIGENTE EN OPERACIÓN HABITUAL;No Aplica;NO APLICA;06-10-2023;
;202047;;;2;ANTOFAGASTA;2;SEREMI DE SALUD DE ANTOFAGASTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;COANIQUEM ANTOFAGASTA;No Aplica;Privado;Secundario;2101;ANTOFAGASTA;Avenida;11385;Pedro Aguirre Cerda 11385;56939504380;01-04-2025;NO;No Aplica;No Aplica;-2.355.635.112;-7.039.170.254;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;22-07-2025;
01-237;101237;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CLÍNICA DR. HÉCTOR SÁNCHEZ;No Aplica;Privado;Secundario;15101;ARICA;Calle;1286;18 de Septiembre;582252498;13-09-2007;NO;No Aplica;No Aplica;-18.483.846;-70.309.716;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;;
;201476;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CENTRO DR. CRISTIAN ABARCA GARRIDO;No Aplica;Privado;No Aplica;15101;ARICA;Calle;1315;18 de Septiembre;998298019;28-07-1998;NO;No Aplica;No Aplica;-184.844;-70.309.196;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;18-03-2024;
;201477;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CENTRO KINÉSICO MEK;No Aplica;Privado;No Aplica;15101;ARICA;Calle;820;San Martín;9 9644 2498;25-09-2009;NO;No Aplica;No Aplica;-18.479.011;-70.312.325;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;;ATENCIÓN ABIERTA-AMBULATORIA;18-03-2024;
;201478;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;S. P RADIOLÓGICOS DENTALES DENTSIC;No Aplica;Privado;No Aplica;15101;ARICA;Calle;580;Almirante Latorre;9 3030 2635;30-08-2021;NO;No Aplica;No Aplica;-18.482.561;-70.311.631;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;No Aplica;ATENCIÓN ABIERTA-AMBULATORIA;18-03-2024;
;201482;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;UNIDAD DE ATENCIÓN;SALA DE PROCEDIMIENTOS OFTÁLMOLOGICOS  7 VISIÓN;No Aplica;Privado;No Aplica;15101;ARICA;Calle;636;Almirante Latorre;933369995;07-08-2023;NO;No Aplica;No Aplica;-18.482.338;-70.311.414;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;22-03-2024;
;201489;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CENTRO DE RESONANCIA MAGNÉTICA IMARED ARICA;No Aplica;Privado;Secundario;15101;ARICA;Calle;1955;18 de Septiembre;2382902;14-11-2022;NO;No Aplica;No Aplica;-18.485.635;-70.300.046;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;26-03-2024;
;201490;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;SALA DE PROCEDIMIENTOS OFTÁLMOLOGICOS  VISIÓN LATINA;No Aplica;Privado;Secundario;15101;ARICA;Calle;363;Cristobal Colón;2233476;19-08-2022;NO;No Aplica;No Aplica;-18.478.605;-70.319.411;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;26-03-2024;
;201495;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;CENTRO KINÉSICO KAIZEN;No Aplica;Privado;Secundario;15101;ARICA;Calle;784;21 de Mayo;988089526;09-07-2008;NO;No Aplica;No Aplica;-18.481.936;-70.315.513;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;05-04-2024;
;201498;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;S.P KINÉSICA NEVENKA PACHECO HERRERA;No Aplica;Privado;Secundario;15101;ARICA;Avenida;1108;Chile;997201405;29-07-2016;NO;No Aplica;No Aplica;-18.472.726;-70.314.981;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;05-04-2024;
;201500;;;15;ARICA PARINACOTA;15;SEREMI DE SALUD DE ARICA Y PARINACOTA;No Perteneciente al Sistema Nacional de Servicios de Salud;CENTRO  DIAGNÓSTICO Y TRATAMIENTO PRIVADO;ESTABLECIMIENTO DE SALUD;"CENTRO DE IMAGENOLOGÍA ""DENT FRUCER""";No Aplica;Privado;Secundario;15101;ARICA;Calle;565;Almirante Latorre;2252237;23-04-2015;NO;No Aplica;No Aplica;-18.482.595;-70.311.843;PRIVADO;VIGENTE EN OPERACIÓN HABITUAL;Mediana Complejidad;ATENCIÓN ABIERTA-AMBULATORIA;05-04-2024;
