EstablecimientoCodigoAntiguo;EstablecimientoCodigo;EstablecimientoCodigoMadreAntiguo;EstablecimientoCodigoMadreNuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;AmbitoFuncionamiento;EstablecimientoGlosa;Certificacion;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaCodigo;ComunaGlosa;TipoViaGlosa;Numero;NombreVia;TelefonoMovil_TelefonoFijo;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;ClasificacionTipoSapu;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa;FechaIncorporacion;FechaCierre
;200556;;;13;Metropolitana de Santiago;95;Servicio de Salud No Aplica;Perteneciente al Sistema Nacional de Servicios de Salud;Atención Remota;Establecimiento de Salud;Hospital Digital;No Aplica;Servicio de Salud;No Aplica;13101;Santiago;Calle;670;Huérfanos, Piso 18;933858910;05-11-2018;NO;No Aplica;No Aplica;-33.439.415;-70.646.293;Público;Vigente en Operación Habitual;No Aplica;No Aplica;25-08-2022;
;201435;;;13;Metropolitana de Santiago;95;Servicio de Salud No Aplica;Perteneciente al Sistema Nacional de Servicios de Salud;Atención Remota;Establecimiento de Salud;Departamento de Asistencia Remota en Salud;No Aplica;Servicio de Salud;No Aplica;13101;Santiago;Calle;689;Monjitas 689;249528;29-09-2023;NO;No Aplica;No Aplica;-33.436.768;-70.646.957;Público;Vigente en Operación Habitual;No Aplica;No Aplica;06-10-2023;
;202047;;;2;Antofagasta;2;SEREMI de Salud de Antofagasta;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro  Diagnóstico y Tratamiento Privado;Establecimiento de Salud;Coaniquem Antofagasta;No Aplica;Privado;Secundario;2101;Antofagasta;Avenida;11385;Pedro Aguirre Cerda 11385;56939504380;01-04-2025;NO;No Aplica;No Aplica;-2.355.635.112;-7.039.170.254;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;22-07-2025;
01-237;101237;;;15;Arica Parinacota;15;SEREMI de Salud de Arica y Parinacota;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro  Diagnóstico y Tratamiento Privado;Establecimiento de Salud;Clínica Dr. Héctor Sánchez;No Aplica;Privado;Secundario;15101;Arica;Calle;1286;18 de Septiembre;582252498;13-09-2007;NO;No Aplica;No Aplica;-18.483.846;-70.309.716;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;;
;201476;;;15;Arica Parinacota;15;SEREMI de Salud de Arica y Parinacota;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro  Diagnóstico y Tratamiento Privado;Establecimiento de Salud;Centro Dr. Cristian Abarca Garrido;No Aplica;Privado;No Aplica;15101;Arica;Calle;1315;18 de Septiembre;998298019;28-07-1998;NO;No Aplica;No Aplica;-184.844;-70.309.196;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;18-03-2024;
;201477;;;15;Arica Parinacota;15;SEREMI de Salud de Arica y Parinacota;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro  Diagnóstico y Tratamiento Privado;Establecimiento de Salud;Centro Kinésico MEK;No Aplica;Privado;No Aplica;15101;Arica;Calle;820;San Martín;9 9644 2498;25-09-2009;NO;No Aplica;No Aplica;-18.479.011;-70.312.325;Privado;Vigente en Operación Habitual;;Atención Abierta-Ambulatoria;18-03-2024;
;201478;;;15;Arica Parinacota;15;SEREMI de Salud de Arica y Parinacota;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro  Diagnóstico y Tratamiento Privado;Establecimiento de Salud;S. P Radiológicos Dentales DENTSIC;No Aplica;Privado;No Aplica;15101;Arica;Calle;580;Almirante Latorre;9 3030 2635;30-08-2021;NO;No Aplica;No Aplica;-18.482.561;-70.311.631;Privado;Vigente en Operación Habitual;No Aplica;Atención Abierta-Ambulatoria;18-03-2024;
;201482;;;15;Arica Parinacota;15;SEREMI de Salud de Arica y Parinacota;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro  Diagnóstico y Tratamiento Privado;Unidad de Atención;Sala de procedimientos Oftálmologicos  7 Visión;No Aplica;Privado;No Aplica;15101;Arica;Calle;636;Almirante Latorre;933369995;07-08-2023;NO;No Aplica;No Aplica;-18.482.338;-70.311.414;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;22-03-2024;
;201489;;;15;Arica Parinacota;15;SEREMI de Salud de Arica y Parinacota;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro  Diagnóstico y Tratamiento Privado;Establecimiento de Salud;Centro de Resonancia Magnética IMARED ARICA;No Aplica;Privado;Secundario;15101;Arica;Calle;1955;18 de Septiembre;2382902;14-11-2022;NO;No Aplica;No Aplica;-18.485.635;-70.300.046;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;26-03-2024;
;201490;;;15;Arica Parinacota;15;SEREMI de Salud de Arica y Parinacota;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro  Diagnóstico y Tratamiento Privado;Establecimiento de Salud;Sala de procedimientos Oftálmologicos  VISIÓN LATINA;No Aplica;Privado;Secundario;15101;Arica;Calle;363;Cristobal Colón;2233476;19-08-2022;NO;No Aplica;No Aplica;-18.478.605;-70.319.411;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;26-03-2024;
;201495;;;15;Arica Parinacota;15;SEREMI de Salud de Arica y Parinacota;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro  Diagnóstico y Tratamiento Privado;Establecimiento de Salud;Centro Kinésico KAIZEN;No Aplica;Privado;Secundario;15101;Arica;Calle;784;21 de Mayo;988089526;09-07-2008;NO;No Aplica;No Aplica;-18.481.936;-70.315.513;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;05-04-2024;
;201498;;;15;Arica Parinacota;15;SEREMI de Salud de Arica y Parinacota;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro  Diagnóstico y Tratamiento Privado;Establecimiento de Salud;S.P Kinésica Nevenka Pacheco Herrera;No Aplica;Privado;Secundario;15101;Arica;Avenida;1108;Chile;997201405;29-07-2016;NO;No Aplica;No Aplica;-18.472.726;-70.314.981;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;05-04-2024;
;201500;;;15;Arica Parinacota;15;SEREMI de Salud de Arica y Parinacota;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro  Diagnóstico y Tratamiento Privado;Establecimiento de Salud;"Centro de Imagenología ""Dent Frucer""";No Aplica;Privado;Secundario;15101;Arica;Calle;565;Almirante Latorre;2252237;23-04-2015;NO;No Aplica;No Aplica;-18.482.595;-70.311.843;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;05-04-2024;
;201501;;;15;Arica Parinacota;15;SEREMI de Salud de Arica y Parinacota;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro  Diagnóstico y Tratamiento Privado;Establecimiento de Salud;Centro Radiológico de Arica S.A;No Aplica;Privado;Secundario;15101;Arica;Avenida;519;Vicuña Mackenna;2252639;23-07-2013;NO;No Aplica;No Aplica;-18.482.083;-70.312.996;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;05-04-2024;
;201511;;;15;Arica Parinacota;15;SEREMI de Salud de Arica y Parinacota;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro  Diagnóstico y Tratamiento Privado;Establecimiento de Salud;Centro Kinésico CorpoBallo;No Aplica;Privado;Secundario;15101;Arica;Calle;1361;Juan Antonio Ríos;2233061;21-04-2014;NO;No Aplica;No Aplica;-18.478.429;-70.302.117;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;05-04-2024;
;201515;;;15;Arica Parinacota;15;SEREMI de Salud de Arica y Parinacota;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro  Diagnóstico y Tratamiento Privado;Establecimiento de Salud;"Sala de Procedimiento Ecográficos ""Nelson Mamani""";No Aplica;Privado;Secundario;15101;Arica;Calle;580;Almirante Latorre;232813753;11-02-1998;NO;No Aplica;No Aplica;-18.482.561;-70.311.631;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;05-04-2024;
;201516;;;15;Arica Parinacota;15;SEREMI de Salud de Arica y Parinacota;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro  Diagnóstico y Tratamiento Privado;Establecimiento de Salud;Sala de procedimientos cardiológicos CARDIOCHECK;No Aplica;Privado;Secundario;15101;Arica;Calle;686;Augusto D´Halmar;413221648;02-07-1996;NO;No Aplica;No Aplica;-18.483.775;-70.307.272;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;05-04-2024;
